,Unnamed: 0,text,pseudo_label_rubert,confidence_rubert,pred_label,confidence,agree?,pseudo_label_ensemble_final,pseudo_label_final
0,0,товар не пришел. затерялся где-то в пути продавец втечении двух дней вернул деньги. Продавец отзывчивый.,нет товара,0.5538742489547606,нет товара,0.9942927956581116,True,нет товара,нет товара
1,1,Заказала с пришла очень большая ,одежда,0.538927460411953,unknown,0.2212660163640976,False,одежда,одежда
2,2,размер несоответствующий,одежда,0.5834453029238063,unknown,0.3935339450836181,False,одежда,одежда
3,3,"по итогу,заказ не получила.Открыла спор,который борианули со всеми моими претензиями.Почта России похерила или с номером отслеживания какая то беда...",нет товара,0.517953590623987,нет товара,0.9939661026000975,True,нет товара,нет товара
4,4,"Товар не пришёл, ждала два месяца. Деньги поставщике увернул только после долгой переписки и споров. Очень разочарована.",нет товара,0.5025802586785627,нет товара,0.993439257144928,True,нет товара,нет товара
5,5,Не качественная ткань,текстиль,0.46252318206193,текстиль,0.9092047214508056,True,текстиль,текстиль
6,6,отлично все.,нет товара,0.4828457839421605,unknown,0.2780807614326477,False,нет товара,нет товара
7,7,Чистая синтекика,текстиль,0.4907087718667808,текстиль,0.8385655283927917,True,текстиль,текстиль
8,8,все супер! доставка месяц) спасибо продавцу)),нет товара,0.4464171767385871,unknown,0.2536172568798065,False,нет товара,нет товара
9,9,Great. thanks,нет товара,0.5771834330810389,unknown,0.3833767771720886,False,нет товара,нет товара
10,10,"Мне не понравилось качество, посылка не отслеживается, шёл заказ три месяца",текстиль,0.4884122517350097,нет товара,0.9432517886161804,False,нет товара,текстиль
11,11,"Заказывала 3 розовые и 2 светло-розовые ,в итоге пришли 5 одинаковых  шапок !!!",украшения и аксессуары,0.5658339069521454,unknown,0.487941175699234,False,украшения и аксессуары,украшения и аксессуары
12,12,так себе,нет товара,0.5870523615545902,нет товара,0.6051919460296631,True,нет товара,нет товара
13,13,"Товар пришел быстро, но качество так себе. Но за такие деньги сойдет.",одежда,0.579772471687701,unknown,0.4065472781658172,False,одежда,одежда
14,14,брат с дыркой,одежда,0.4194984592249143,unknown,0.3616641163825989,False,одежда,одежда
15,15,Пришло с браком,одежда,0.4300736845353952,нет товара,0.8749028444290161,False,одежда,одежда
16,16,доставка пуля!,нет товара,0.5127753637098662,unknown,0.3277264833450317,False,нет товара,нет товара
17,17,размер на меня не подошел маленький был,одежда,0.5478822763466257,unknown,0.4172509014606476,False,одежда,одежда
18,18,"Красивое тонкое платье, для смелых девушек. Размер соответствует.",одежда,0.5837636145113136,одежда,0.960697054862976,True,одежда,одежда
19,19,материал не такой плотный и теплый.но мягкий.  для летних вечеров самый раз,текстиль,0.4885410970371509,unknown,0.4037745296955108,False,текстиль,текстиль
20,20,"Не честный продавец. Не советую ничего у него заказывать. сначала кормит обещаниями и придумывает отмазки что товар в пути, а потом и вовсе игнорирует. Спасибо что через спор мне вернули деньги.",нет товара,0.5417374131710507,нет товара,0.943934202194214,True,нет товара,нет товара
21,21,"блузка не пришла, но ставлю 5 звезд а честность продовца, деньги вернул сразу.",нет товара,0.454652897467618,одежда,0.6262091398239136,False,нет товара,нет товара
22,22,"Заказ шел примерно месяц,  но мне не понравился-толку от него нет. Может подойдёт для девушек с небольшой грудью.",одежда,0.5975930269009809,нет товара,0.8679416179656982,False,одежда,одежда
23,23,Рекомендую.,нет товара,0.4203537945647558,unknown,0.4104864597320556,False,нет товара,нет товара
24,24,"ждала 3месяца,так ничего иполучила,открыла спор продавец не хотел возвращать деньги,спасибо Али.вмешались ,деньги вернули..",нет товара,0.5174394905697539,нет товара,0.9938863515853882,True,нет товара,нет товара
25,25,Юбка просто замечательная!Описание было точным и дошла довольно быстро. Нет никаких дефектов или запаха.,одежда,0.5261240974354877,одежда,0.9794920086860656,True,одежда,одежда
26,26,"Пришли быстро, качество нормальное ",одежда,0.5756228384989256,unknown,0.226108118891716,False,одежда,одежда
27,27,"Материал грубоват ,а так ничего за эти деньги . Доставили быстро",текстиль,0.546613665323408,unknown,0.509529173374176,False,текстиль,текстиль
28,28,i love this jeans,одежда,0.4954073431914513,одежда,0.6591150760650635,True,одежда,одежда
29,29,Ужасная синтетика.,текстиль,0.5085484261045766,текстиль,0.9192690253257751,True,текстиль,текстиль
30,30,Хороший товар. отличный продавец.,нет товара,0.5364409011139762,unknown,0.24080291390419,False,нет товара,нет товара
31,31,"Товар не пришёл. Заказывала ещё в марте, уже июль. ",нет товара,0.4853824100195967,нет товара,0.9952309131622314,True,нет товара,нет товара
32,32,"Я очень не довольна товар пришел не качественный, на фото видно! Продовец на протяжениии 30 дней обещал вернуть деньги, тянул до последнего, но так и ни чего и не зделал! Магазин не советую!!!!!!",текстиль,0.5239089129912088,нет товара,0.8537499904632568,False,нет товара,текстиль
33,33,"странный материал, внизу не обработан матерал",текстиль,0.4217250780123467,нет товара,0.7970925569534302,False,нет товара,текстиль
34,34,Супер)Очень приятное качество,нет товара,0.4069753645474628,unknown,0.304360955953598,False,нет товара,нет товара
35,35,очень ждали и еифига,нет товара,0.5619262507081378,unknown,0.4874716401100158,False,нет товара,нет товара
36,36,"товар отправлен не на тот адрес ! продавец без ответственный! Ошибок не признаёт,спор закрыт только после подключения Ali",нет товара,0.5310564185556816,нет товара,0.9340277314186096,True,нет товара,нет товара
37,37,"Я не длинная. Платье очень короткое, еле прикрывает ""то самое место"". Носить не буду.",одежда,0.5537172187339705,одежда,0.8193566203117371,True,одежда,одежда
38,38,Пришли с дырочкой !,текстиль,0.3677518473961179,unknown,0.4197948276996612,False,текстиль,текстиль
39,39,"Блузка шла в течении двух месяцев!  Я открыла спор, деньги так и не вернули! Отвратительно!!!",одежда,0.546301761294176,одежда,0.8509041666984558,True,одежда,одежда
40,40,хороший выбор,нет товара,0.4193709003561129,unknown,0.3433205485343933,False,нет товара,нет товара
